edad,antiguedad,salario,horas_extra,satisfaccion_laboral,evaluacion_desempenio,num_proyectos,distancia_trabajo,capacitaciones,abandono
50,16,4797291,10,2,3,5,34,2,1
36,12,5302429,9,3,1,1,17,4,0
29,0,6394287,2,3,3,3,43,2,0
42,1,3990706,13,4,4,4,43,5,0
40,8,2691902,15,4,4,2,16,0,0
44,2,6754224,9,3,2,6,2,5,0
32,0,3992118,9,4,1,1,34,4,0
32,15,7715140,11,2,1,2,8,1,1
45,5,5237973,8,2,4,3,13,0,1
57,16,3702575,0,3,3,5,42,3,0
45,4,1964071,4,1,2,7,8,2,1
24,4,5881137,19,2,3,5,30,5,1
43,5,6412216,7,4,3,4,32,0,0
23,2,2275435,10,1,3,5,36,5,1
45,4,3674606,11,1,1,1,47,0,1
51,4,7254777,0,2,4,5,30,4,0
59,9,4998472,19,2,1,4,1,4,1
23,9,4506316,10,1,4,6,43,4,0
42,18,3064718,4,1,2,3,39,5,0
54,16,6639743,14,3,2,7,17,3,0
33,13,3634793,4,4,3,3,20,4,0
43,8,3102575,11,3,4,5,24,0,0
46,13,7599654,4,2,4,2,22,4,0
48,0,7111920,16,3,4,3,29,1,0
49,18,5313270,16,3,3,6,22,4,0
37,12,6306425,11,3,3,5,44,5,0
36,12,3878837,14,3,2,7,9,3,0
24,3,7623769,14,4,1,4,37,1,0
58,0,3024102,5,4,4,6,10,5,0
28,16,4690541,11,1,4,5,36,5,1
42,7,7435438,19,2,1,6,37,5,1
30,1,2164180,17,3,4,3,28,0,0
39,7,3883366,13,1,3,7,28,5,1
25,6,3535848,1,1,3,4,42,0,0
46,1,6622930,8,1,4,5,43,5,0
35,2,3939855,4,4,3,1,21,2,0
30,17,1704615,19,3,3,4,24,1,0
47,11,3025233,0,3,4,1,42,2,0
23,0,5396022,2,2,2,6,40,5,1
41,11,3303740,5,3,1,2,2,1,0
49,4,5468222,4,3,3,4,8,1,0
28,16,4568893,4,1,2,6,48,3,1
29,15,2338003,0,2,3,1,27,2,1
56,14,4933382,16,3,3,3,22,3,0
35,14,1781570,18,4,1,3,37,1,1
38,4,4682993,13,3,3,2,27,0,0
57,13,5581082,11,1,1,4,29,1,1
25,1,4895049,9,4,1,4,3,3,0
23,10,1566150,19,1,1,4,44,2,1
27,18,3934206,17,3,2,6,13,5,0
25,6,7581687,10,4,4,7,45,5,0
50,5,7913282,1,2,2,7,10,2,0
39,1,2059723,17,2,4,2,36,5,1
47,5,7625755,6,4,4,4,9,5,0
55,17,4047500,14,4,1,6,27,3,0
31,1,4855745,10,1,3,3,34,2,0
57,17,2499554,17,4,1,1,1,4,0
35,14,5693060,11,1,3,6,32,0,1
52,18,5658634,5,3,4,7,25,0,0
36,1,1634055,19,1,1,7,29,5,1
29,19,2176022,12,4,3,3,7,0,1
35,5,2309942,19,4,2,3,49,2,0
44,0,5379275,15,3,3,1,3,2,0
42,14,2196358,17,4,1,3,20,1,0
37,9,5095790,9,4,2,2,20,1,0
39,18,6836951,7,2,3,1,30,0,1
45,16,3341648,17,2,3,3,35,4,1
47,4,7049571,0,3,3,5,35,1,0
46,3,7937845,7,1,3,6,49,1,0
50,9,3188472,5,2,3,3,39,2,0
36,16,5328433,4,1,2,2,27,4,1
22,9,4235264,14,4,4,4,26,5,0
46,16,6706031,14,2,2,3,14,0,1
28,19,5948748,1,3,2,7,17,1,0
30,4,4200713,0,3,2,7,18,4,0
45,1,3808989,10,3,4,7,45,4,0
22,5,7901473,9,2,1,4,29,0,1
29,1,5637270,17,1,4,7,20,4,1
45,12,5817922,17,4,2,5,27,4,0
32,10,5615625,16,1,3,3,18,4,1
38,10,1959297,7,1,3,7,4,1,1
29,15,2520154,14,4,2,1,1,0,1
56,10,6445169,7,4,3,4,1,4,0
56,18,5577151,16,2,2,5,26,4,1
54,14,6234963,11,2,3,1,45,1,1
26,15,4303696,7,2,4,1,20,0,1
49,10,3593373,13,2,1,1,23,2,1
28,15,7341140,3,2,1,1,10,1,0
30,7,6936139,0,4,4,3,11,0,0
29,3,3872280,0,1,4,7,41,4,1
33,7,4416623,18,2,2,6,41,0,1
55,3,4206871,15,2,2,3,5,0,1
54,2,2370123,13,1,2,3,1,5,1
44,2,4486249,15,2,3,5,17,0,1
45,17,3359582,4,1,2,5,22,2,1
58,18,7663814,8,1,4,7,34,0,0
56,18,5944499,1,4,1,6,45,2,0
43,4,6886628,17,3,3,5,41,4,0
48,17,3629885,5,4,2,7,29,2,0
56,9,7483920,8,3,3,7,4,4,0
22,5,6220642,0,3,3,2,5,4,0
56,0,3707148,8,3,2,6,11,2,0
58,4,6252525,15,2,3,5,21,1,1
35,8,2049239,12,4,1,6,35,3,0
24,11,2056701,8,3,4,3,12,0,0
22,13,6908753,12,1,4,3,26,5,1
26,1,7453859,8,2,1,6,19,3,0
47,16,4547569,10,4,3,2,45,0,0
35,13,6593309,3,3,2,2,7,0,0
48,12,6730884,1,1,3,6,47,4,1
30,8,6128120,5,4,1,5,7,0,0
36,14,2770464,13,4,3,4,26,5,1
36,14,2285332,3,2,4,2,40,0,1
47,10,7488333,5,4,3,1,5,2,0
34,15,2267950,18,2,1,3,21,3,1
53,16,1666472,5,3,4,6,14,2,0
53,3,1897710,1,2,3,1,4,5,1
25,0,5817048,17,1,3,6,23,0,1
51,7,7472931,12,2,4,7,42,5,1
58,16,7757803,8,1,2,3,20,4,1
44,2,7244826,18,2,4,3,15,2,1
36,19,4688729,12,4,2,2,45,2,0
50,14,6285956,10,3,1,2,29,1,0
57,14,6605724,0,1,1,1,8,0,0
34,13,6525764,6,2,4,7,41,4,0
53,13,4350171,14,2,4,6,48,2,1
